id,position,multiplier,is_captain,is_vice_captain,is_substitute
81,1,1,False,False,False
357,2,1,False,False,False
448,3,1,False,False,False
306,4,1,False,False,False
428,5,1,False,False,False
346,6,1,False,False,False
311,7,1,False,False,False
19,8,1,False,False,False
80,9,1,False,False,False
318,10,2,True,False,False
427,11,1,False,True,False
281,12,0,False,False,True
45,13,0,False,False,True
342,14,0,False,False,True
295,15,0,False,False,True
376,1,1,False,False,False
26,2,1,False,False,False
306,3,1,False,False,False
357,4,1,False,False,False
33,5,1,False,False,False
13,6,1,False,False,False
301,7,1,False,False,False
45,8,1,False,False,False
594,9,1,False,True,False
427,10,1,False,False,False
318,11,2,True,False,False
254,12,0,False,False,True
195,13,0,False,False,True
295,14,0,False,False,True
346,15,0,False,False,True
376,1,1,False,False,False
26,2,1,False,False,False
357,3,1,False,False,False
306,4,1,False,False,False
33,5,1,False,False,False
13,6,1,False,False,False
465,7,1,False,False,False
346,8,1,False,False,False
28,9,1,False,False,False
318,10,1,False,True,False
427,11,2,True,False,False
254,12,0,False,False,True
295,13,0,False,False,True
293,14,0,False,False,True
116,15,0,False,False,True
376,1,1,False,False,False
357,2,1,False,False,False
306,3,1,False,False,False
545,4,1,False,False,False
314,5,1,False,False,False
45,6,1,False,False,False
261,7,1,False,False,False
13,8,1,False,False,False
318,9,1,False,True,False
594,10,1,False,False,False
427,11,2,True,False,False
254,12,0,False,False,True
346,13,0,False,False,True
268,14,0,False,False,True
146,15,0,False,False,True
254,1,1,False,False,False
306,2,1,False,False,False
357,3,1,False,False,False
33,4,1,False,False,False
468,5,1,False,False,False
369,6,1,False,False,False
301,7,1,False,False,False
13,8,1,False,False,False
318,9,2,True,False,False
28,10,1,False,True,False
210,11,1,False,False,False
113,12,0,False,False,True
342,13,0,False,False,True
146,14,0,False,False,True
160,15,0,False,False,True
376,1,1,False,False,False
357,2,1,False,False,False
197,3,1,False,False,False
306,4,1,False,False,False
301,5,1,False,False,False
13,6,1,False,False,False
19,7,1,False,False,False
465,8,1,False,False,False
318,9,2,True,False,False
28,10,1,False,True,False
210,11,1,False,False,False
81,12,0,False,False,True
346,13,0,False,False,True
377,14,0,False,False,True
295,15,0,False,False,True
81,1,1,False,False,False
306,2,1,False,False,False
448,3,1,False,False,False
457,4,1,False,False,False
19,5,1,False,False,False
486,6,1,False,False,False
314,7,1,False,False,False
160,8,1,False,False,False
279,9,1,False,True,False
28,10,1,False,False,False
318,11,2,True,False,False
182,12,0,False,False,True
293,13,0,False,False,True
313,14,0,False,False,True
112,15,0,False,False,True
307,1,1,False,False,False
197,2,1,False,False,False
430,3,1,False,False,False
306,4,1,False,False,False
357,5,1,False,False,False
13,6,1,False,False,False
346,7,1,False,False,False
369,8,1,False,False,False
28,9,1,False,True,False
318,10,2,True,False,False
427,11,1,False,False,False
254,12,0,False,False,True
313,13,0,False,False,True
335,14,0,False,False,True
293,15,0,False,False,True
376,1,1,False,False,False
306,2,1,False,False,False
357,3,1,False,False,False
197,4,1,False,False,False
261,5,1,False,False,False
13,6,1,False,False,False
19,7,1,False,False,False
314,8,1,False,False,False
210,9,1,False,False,False
427,10,2,True,False,False
318,11,1,False,True,False
254,12,0,False,False,True
346,13,0,False,False,True
295,14,0,False,False,True
146,15,0,False,False,True
376,1,1,False,False,False
295,2,1,False,False,False
306,3,1,False,False,False
357,4,1,False,False,False
26,5,1,False,False,False
19,6,1,False,False,False
369,7,1,False,False,False
428,8,1,False,False,False
427,9,2,True,False,False
28,10,1,False,False,False
318,11,1,False,True,False
113,12,0,False,False,True
346,13,0,False,False,True
335,14,0,False,False,True
342,15,0,False,False,True
307,1,1,False,False,False
306,2,1,False,False,False
366,3,1,False,False,False
357,4,1,False,False,False
195,5,1,False,False,False
19,6,1,False,False,False
446,7,1,False,False,False
3,8,1,False,False,False
28,9,1,False,False,False
318,10,2,True,False,False
427,11,1,False,True,False
254,12,0,False,False,True
448,13,0,False,False,True
346,14,0,False,False,True
295,15,0,False,False,True
376,1,1,False,False,False
197,2,1,False,False,False
306,3,1,False,False,False
357,4,1,False,True,False
314,5,1,False,False,False
19,6,1,False,False,False
465,7,1,False,False,False
346,8,1,False,False,False
210,9,1,False,False,False
318,10,2,True,False,False
427,11,1,False,False,False
548,12,0,False,False,True
261,13,0,False,False,True
165,14,0,False,False,True
146,15,0,False,False,True
307,1,1,False,False,False
445,2,1,False,False,False
357,3,1,False,False,False
10,4,1,False,False,False
301,5,1,False,False,False
446,6,1,False,False,False
374,7,1,False,False,False
19,8,1,False,False,False
318,9,2,True,False,False
210,10,1,False,False,False
28,11,1,False,True,False
81,12,0,False,False,True
116,13,0,False,False,True
484,14,0,False,False,True
114,15,0,False,False,True
254,1,1,False,False,False
16,2,1,False,False,False
295,3,1,False,False,False
357,4,1,False,False,False
428,5,1,False,False,False
19,6,1,False,False,False
311,7,1,False,False,False
45,8,1,False,False,False
28,9,1,False,True,False
427,10,2,True,False,False
318,11,1,False,False,False
113,12,0,False,False,True
346,13,0,False,False,True
299,14,0,False,False,True
197,15,0,False,False,True
254,1,1,False,False,False
306,2,1,False,False,False
357,3,1,False,False,False
295,4,1,False,False,False
10,5,1,False,False,False
197,6,1,False,False,False
19,7,1,False,False,False
346,8,1,False,False,False
318,9,1,False,True,False
28,10,1,False,False,False
427,11,2,True,False,False
478,12,0,False,False,True
283,13,0,False,False,True
486,14,0,False,False,True
335,15,0,False,False,True
376,1,1,False,False,False
306,2,1,False,False,False
463,3,1,False,False,False
357,4,1,False,False,False
346,5,1,False,False,False
465,6,1,False,False,False
19,7,1,False,False,False
314,8,1,False,False,False
318,9,1,False,True,False
427,10,2,True,False,False
210,11,1,False,False,False
548,12,0,False,False,True
261,13,0,False,False,True
545,14,0,False,False,True
146,15,0,False,False,True
376,1,1,False,False,False
306,2,1,False,False,False
16,3,1,False,False,False
357,4,1,False,False,False
19,5,1,False,False,False
481,6,1,False,False,False
314,7,1,False,False,False
368,8,1,False,False,False
318,9,2,True,False,False
427,10,1,False,False,False
80,11,1,False,False,False
281,12,0,False,True,True
342,13,0,False,False,True
7,14,0,False,False,True
108,15,0,False,False,True
425,1,1,False,True,False
258,2,1,False,False,False
357,3,1,False,False,False
367,4,1,False,False,False
306,5,1,False,False,False
464,6,1,False,False,False
311,7,1,False,False,False
19,8,1,False,False,False
13,9,1,False,False,False
318,10,1,False,False,False
28,11,2,True,False,False
238,12,0,False,False,True
235,13,0,False,False,True
446,14,0,False,False,True
279,15,0,False,False,True
376,1,1,False,False,False
306,2,1,False,False,False
357,3,1,False,False,False
26,4,1,False,False,False
346,5,1,False,False,False
3,6,1,False,False,False
369,7,1,False,False,False
301,8,1,False,False,False
28,9,1,False,False,False
318,10,2,True,False,False
427,11,1,False,True,False
77,12,0,False,False,True
293,13,0,False,False,True
39,14,0,False,False,True
197,15,0,False,False,True
376,1,1,False,False,False
357,2,1,False,False,False
306,3,1,False,False,False
545,4,1,False,False,False
465,5,1,False,False,False
19,6,1,False,False,False
314,7,1,False,True,False
261,8,1,False,False,False
318,9,2,True,False,False
427,10,1,False,False,False
210,11,1,False,False,False
254,12,0,False,False,True
346,13,0,False,False,True
295,14,0,False,False,True
146,15,0,False,False,True
376,1,1,False,False,False
33,2,1,False,False,False
306,3,1,False,False,False
357,4,1,False,False,False
445,5,1,False,False,False
301,6,1,False,False,False
45,7,1,False,False,False
195,8,1,False,False,False
594,9,2,True,False,False
427,10,1,False,True,False
318,11,1,False,False,False
81,12,0,False,False,True
19,13,0,False,False,True
295,14,0,False,False,True
346,15,0,False,False,True
425,1,1,False,False,False
306,2,1,False,False,False
16,3,1,False,False,False
357,4,1,False,False,False
526,5,1,False,False,False
314,6,1,False,False,False
19,7,1,False,False,False
45,8,1,False,False,False
594,9,1,False,False,False
318,10,2,True,False,False
28,11,1,False,True,False
254,12,0,False,False,True
293,13,0,False,False,True
280,14,0,False,False,True
335,15,0,False,False,True
398,1,1,False,False,False
367,2,1,False,False,False
357,3,1,False,False,False
306,4,1,False,False,False
448,5,1,False,False,False
7,6,1,False,False,False
19,7,1,False,False,False
301,8,1,False,False,False
318,9,1,False,True,False
28,10,1,False,False,False
427,11,2,True,False,False
207,12,0,False,False,True
253,13,0,False,False,True
381,14,0,False,False,True
551,15,0,False,False,True
455,1,1,False,False,False
306,2,1,False,False,False
313,3,1,False,False,False
357,4,1,False,False,False
33,5,1,False,False,False
445,6,1,False,False,False
19,7,1,False,False,False
469,8,1,False,False,False
318,9,1,False,True,False
427,10,2,True,False,False
28,11,1,False,False,False
113,12,0,False,False,True
104,13,0,False,False,True
293,14,0,False,False,True
335,15,0,False,False,True
425,1,1,False,False,False
295,2,1,False,False,False
357,3,1,False,False,False
306,4,1,False,False,False
369,5,1,False,False,False
